momentum [MeV/c]	total energy [MeV]	kinetic energy [MeV]	\gamma	\beta	drf1 [m]	drf2 [m]	elcRds [m]	bending angle [dgr]	inc angle in [dgr]	inc angle out [dgr]	fringe extend ups [m]	fringe extend dws [m]	fringe backoff [m]	side logic	front screen [m]	side screen [m]	bending angle at front screen [dgr]	bending angle at side screen [dgr]	total path [m]	max B [T]	eff length ups [m]	eff length dws [m]	ups boundary s [m]	center s [m]	dws boundary s [m]	ups Enge 0	ups Enge 1	ups Enge 2	ups Enge 3	ups Enge 4	ups Enge 5	dws Enge 0	dws Enge 1	dws Enge 2	dws Enge 3	dws Enge 4	dws Enge 5	ups fit cost	ups normalized cost	ups fit error	dws fit cost	dws normalized cost	dws fit error	x[mm](rms)	xp[mm](rms)	y[mm](rms)	yp[mm](rms)	"x[mm](rms,b)"	"xp[mm](rms,b)"	"y[mm](rms,b)"	"yp[mm](rms,b)"	x conv fct rms	y conv fct rms	momentum rsl rms [%]	x[mm](fwhm)	xp[mm](fwhm)	y[mm](fwhm)	yp[mm](fwhm)	"x[mm](fwhm,b)"	"xp[mm](fwhm,b)"	"y[mm](fwhm,b)"	"yp[mm](fwhm,b)"	x conv fct fwhm	y conv fct fwhm	momentum rsl [%/mrad]	peak momentum error [%]	arc Coeff [MeV/mm2]
5910	5910.000022	5909.489023	11565.57905	0.999999996	11.76933014	0.947465678	19.68648594	4.520574784	-2.394048694	-69.45933591	0.500830141	0.544427497	0	0	0.135797775	1.699946383	4.520574784	-85.47942522	14.27053818	1.001379225	0.69479691	0.858945453	11.76933014	12.46412705	13.3230725	0.95864697	1.406590973	-0.800906401	0.327279336	-0.058176016	0.003587686	-0.154560697	2.559020118	0.772372164	-0.558286334	-0.207631472	0.09786314	0.016055449	1.090723411	0.001447556	0.029884468	8.470654213	0.000398961	2.4067	0.16851	3.0788	0.5488	2.8818	0.20131	2.8403	0.19903	0.83514	1.084	1.9756	4.411	0.35221	6.5092	1.1599	5.1248	0.4046	5.8646	0.41158	0.86072	1.1099	18.478	0.09954	-0.15785
5915	5915.000022	5914.489023	11575.3638	0.999999996	11.76908356	0.947480875	19.7030916	4.517418096	-2.393766907	-69.00699742	0.500583564	0.544449439	0	0	0.135694636	1.699953129	4.517418096	-85.4825819	14.27053144	1.001381744	0.695294916	0.858672081	11.76908356	12.46437848	13.32305056	0.967718557	1.396440835	-0.794578841	0.325621595	-0.058002346	0.003582339	-0.158849641	2.562475628	0.773657893	-0.561220029	-0.208310554	0.09850081	0.016056745	1.090811471	0.001445727	0.029894509	8.440008168	0.000404996	2.3872	0.15819	3.1125	0.54738	2.8392	0.19834	2.8779	0.20167	0.8408	1.0815	1.9891	4.3182	0.33919	6.5869	1.1581	4.9672	0.40527	5.8265	0.40982	0.86933	1.1305	17.9555	0.01589	-0.12979
5920	5920.000022	5919.489023	11585.14856	0.999999996	11.76933399	0.946993192	19.71978201	4.514264432	-2.393489796	-68.55599297	0.500833993	0.544468487	0	0	0.135591626	1.699959861	4.514264432	-85.48573557	14.2705247	1.001379956	0.695295912	0.858901608	11.76933399	12.46462991	13.32353151	0.95853273	1.406762809	-0.80106078	0.327311279	-0.058175061	0.003587291	-0.150888158	2.461866208	0.701758317	-0.497750632	-0.17306686	0.079483969	0.016055893	1.090753619	0.001447828	0.031332713	8.574907739	0.000429831	2.3988	0.15042	3.0704	0.53317	2.8534	0.19933	2.8444	0.19932	0.84067	1.0795	1.9865	4.2007	0.31178	6.5429	1.1364	5.1075	0.41288	5.9085	0.41337	0.82246	1.1074	18.0285	0.0083489	-0.16875
5925	5925.000022	5924.489023	11594.93331	0.999999996	11.76908741	0.947010016	19.73638756	4.511113782	-2.393208961	-68.10900345	0.500587407	0.544492031	0	0	0.135488746	1.69996658	4.511113782	-85.48888622	14.27051799	1.001382476	0.695793917	0.858626645	11.76908741	12.46488132	13.32350797	0.967607286	1.3955489	-0.794877691	0.326636645	-0.05834851	0.003613616	-0.155201027	2.464946028	0.702778163	-0.500206695	-0.173557964	0.079962855	0.016057403	1.090856191	0.001452157	0.031341829	8.577402651	0.000436265	2.4651	0.14627	3.0001	0.51439	2.9088	0.2032	2.7984	0.1961	0.84745	1.0721	1.9811	4.4701	0.30248	6.4849	1.1136	5.2115	0.40174	5.7919	0.40728	0.85773	1.1197	18.315	0.024143	-0.20665
5930	5930.000022	5929.489023	11604.71806	0.999999996	11.76933782	0.946523938	19.75307794	4.507966217	-2.392932783	-67.69904473	0.500837824	0.544012658	0	0	0.135385996	1.699973287	4.507966217	-85.49203378	14.27051128	1.001380691	0.695794912	0.858854605	11.76933782	12.46513274	13.32398734	0.958372758	1.406124238	-0.801328733	0.328123054	-0.058449237	0.003611931	-0.147642016	2.374935548	0.641302985	-0.447149617	-0.145969253	0.065482948	0.016056535	1.090797241	0.00145203	0.032624087	8.662795265	0.000461137	2.4362	0.13731	3.1041	0.52634	2.876	0.20091	2.8912	0.2026	0.84707	1.0736	1.9906	4.5072	0.28537	6.4067	1.0878	5.11	0.40755	5.8041	0.40568	0.88204	1.1038	18.438	0.01042	-0.086516
5935	5935.000022	5934.489023	11614.50282	0.999999996	11.76909123	0.946542345	19.76968339	4.504821716	-2.392395468	-67.15914687	0.500591226	0.544537758	0	0	0.135283376	1.699979981	4.504821716	-85.49517828	14.27050459	1.001383212	0.696292916	0.858578101	11.76909123	12.46538414	13.32396224	0.967494634	1.395946341	-0.794979282	0.326447058	-0.05827022	0.003606119	-0.151953883	2.378235316	0.64239241	-0.449521823	-0.14646115	0.065922163	0.016057739	1.090879019	0.001451076	0.032621893	8.662212644	0.000466859	2.4412	0.12856	3.0504	0.50977	2.8678	0.20034	2.8469	0.19949	0.85123	1.0715	1.9688	4.549	0.26994	6.5257	1.0975	5.1816	0.40721	5.7758	0.40271	0.87792	1.1298	18.3975	0.068307	-0.21946
5940	5940.000022	5939.489023	11624.28757	0.999999996	11.76934162	0.946057884	19.78637375	4.501680207	-2.392116048	-66.77337148	0.500841624	0.544059978	0	0	0.135180884	1.699986662	4.501680207	-85.49831979	14.27049791	1.001381431	0.696293909	0.85880449	11.76934162	12.46563553	13.32444002	0.958226911	1.406183624	-0.801404078	0.32818283	-0.058465279	0.003613263	-0.143980695	2.298011867	0.58935467	-0.405182267	-0.124519691	0.054723887	0.016057007	1.090829289	0.001452441	0.033892618	8.739715746	0.000492004	2.4434	0.12243	3.1015	0.51316	2.8578	0.19964	2.9033	0.20345	0.85498	1.0682	2.0192	4.5453	0.26063	6.3413	1.0531	4.9599	0.39541	5.7117	0.39872	0.91642	1.1102	18.788	0.020243	-0.13417
5945	5945.000022	5944.489023	11634.07232	0.999999996	11.769095	0.946077917	19.80297909	4.498541718	-2.391777008	-66.33131228	0.500595004	0.544086678	0	0	0.135078521	1.69999333	4.498541718	-85.50145828	14.27049124	1.001383952	0.696791912	0.858526407	11.769095	12.46588692	13.32441332	0.9673424	1.396405549	-0.794998994	0.326204875	-0.058185512	0.003598528	-0.14825814	2.301452545	0.590458185	-0.407414329	-0.124998045	0.055119016	0.016058109	1.09090416	0.001449075	0.033880767	8.736659802	0.000498228	2.4485	0.11581	3.0293	0.49551	2.866	0.20021	2.8339	0.19859	0.85435	1.069	2.02	4.3785	0.24034	6.4985	1.065	5.0324	0.41333	5.6685	0.39621	0.87007	1.1464	18.326	0.010166	-0.20347
5950	5950.000022	5949.489023	11643.85708	0.999999996	11.76908826	0.94585888	19.81958433	4.495406224	-2.39111393	-65.89067848	0.500588256	0.543874296	0	0	0.134976285	1.699999986	4.495406224	-85.50459378	14.27048458	1.001386474	0.697289912	0.858247536	11.76908826	12.46637817	13.3246257	0.967558506	1.396028442	-0.794758966	0.326183941	-0.058194299	0.003599719	-0.14673649	2.307792406	0.588430726	-0.410863178	-0.124759113	0.055504046	0.016059325	1.090986781	0.001449458	0.033876019	8.735435431	0.000505567	2.4559	0.10957	3.0453	0.49255	2.8746	0.20081	2.8734	0.20135	0.85437	1.0598	2.0042	4.5018	0.23217	6.3073	1.0268	5.1372	0.40048	5.7445	0.40494	0.8763	1.098	17.836	-0.025635	-0.067944
5955	5955.000022	5954.489023	11653.64183	0.999999996	11.76933864	0.945376768	19.83627466	4.492273906	-2.390649831	-65.63169659	0.500838644	0.543398825	0	0	0.134874181	1.699508165	4.492273906	-85.50772609	14.27047794	1.001384696	0.697290905	0.858471625	11.76933864	12.46662955	13.32510117	0.958363654	1.407945274	-0.800930148	0.326354867	-0.057837638	0.003556414	-0.138531143	2.233953868	0.541398465	-0.372443758	-0.106817486	0.046534356	0.016058813	1.090951958	0.001441554	0.035095022	8.795744869	0.000531715	2.4364	0.10487	3.0226	0.48574	2.8536	0.19935	2.8525	0.19989	0.8538	1.0596	1.978	4.3757	0.22327	6.4762	1.0377	5.261	0.40391	5.7923	0.40463	0.83172	1.1181	18.3	-0.026703	-0.050609
